image,illumination,geometry,glossiness,refsharp,contgloss,metallicness,lightness,anisotropy
[1_2_fish_eagle_hill_2k][blob][MERL-alum-bronze].jpg,2,5,1,1,1,1.5,1,1
[1_2_fish_eagle_hill_2k][blob][MERL-alumina-oxide].jpg,2,5,7,6,6,6,7,3
[1_2_fish_eagle_hill_2k][blob][MERL-aluminium].jpg,2,5,7,7,7,7,6,4
[1_2_fish_eagle_hill_2k][blob][MERL-aventurnine].jpg,2,5,3.5,1.5,1,3,2.5,2.5
[1_2_fish_eagle_hill_2k][blob][MERL-beige-fabric].jpg,2,5,1,1,1,1,5,2
[1_2_fish_eagle_hill_2k][blob][MERL-black-fabric].jpg,2,5,1,1,1,1,1,2
[1_2_fish_eagle_hill_2k][blob][MERL-black-obsidian].jpg,2,5,4,4,4,3,3,4
[1_2_fish_eagle_hill_2k][blob][MERL-black-oxidized-steel].jpg,2,5,2,1,1,1,1,4
[1_2_fish_eagle_hill_2k][blob][MERL-black-phenolic].jpg,2,5,5,2,2,2,1,5
[1_2_fish_eagle_hill_2k][blob][MERL-black-soft-plastic].jpg,2,5,2,1,1,1,1,4
[1_2_fish_eagle_hill_2k][blob][MERL-blue-acrylic].jpg,2,5,5,4,4,4,2,5
[1_2_fish_eagle_hill_2k][blob][MERL-blue-fabric].jpg,2,5,1,1,1,1,1,2
[1_2_fish_eagle_hill_2k][blob][MERL-blue-metallic-paint2].jpg,2,5,7,6,6,7,1,1
[1_2_fish_eagle_hill_2k][blob][MERL-blue-metallic-paint].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL-blue-rubber].jpg,2,5,1,1,1,1,5,2
[1_2_fish_eagle_hill_2k][blob][MERL-brass].jpg,2,5,7,7,7,7,4,7
[1_2_fish_eagle_hill_2k][blob][MERL-cherry-235].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL-chrome-steel].jpg,2,5,7,7,7,7,4,3
[1_2_fish_eagle_hill_2k][blob][MERL-chrome].jpg,2,5,7,6,6,7,5,4
[1_2_fish_eagle_hill_2k][blob][MERL-colonial-maple-223].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL-color-changing-paint1].jpg,2,5,4,1,1,4,1,1
[1_2_fish_eagle_hill_2k][blob][MERL-color-changing-paint2].jpg,2,5,1,1,1,4,1,1
[1_2_fish_eagle_hill_2k][blob][MERL-color-changing-paint3].jpg,2,5,3,2,3,4,1,5
[1_2_fish_eagle_hill_2k][blob][MERL-dark-blue-paint].jpg,2,5,1,1,1,1,5,2
[1_2_fish_eagle_hill_2k][blob][MERL-dark-red-paint].jpg,2,5,2,1,1,2,4,5
[1_2_fish_eagle_hill_2k][blob][MERL-dark-specular-fabric].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL-delrin].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL-fruitwood-241].jpg,2,5,1,1,1,1,1,4
[1_2_fish_eagle_hill_2k][blob][MERL-gold-metallic-paint2].jpg,2,5,6,3,3,5,3,3
[1_2_fish_eagle_hill_2k][blob][MERL-gold-metallic-paint3].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL-gold-metallic-paint].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL-gold-paint].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL-gray-plastic].jpg,2,5,2,2,2,1,2,2
[1_2_fish_eagle_hill_2k][blob][MERL-grease-covered-steel].jpg,2,5,6,6,6,5,5,5
[1_2_fish_eagle_hill_2k][blob][MERL-green-acrylic].jpg,2,5,7,5,5,3,2,5
[1_2_fish_eagle_hill_2k][blob][MERL-green-fabric].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL-green-latex].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL-green-metallic-paint2].jpg,2,5,7,7,7,7,2,7
[1_2_fish_eagle_hill_2k][blob][MERL-green-metallic-paint].jpg,2,5,2,1,1,2,2,2
[1_2_fish_eagle_hill_2k][blob][MERL-green-plastic].jpg,2,5,5,4,5,5,4,2
[1_2_fish_eagle_hill_2k][blob][MERL-hematite].jpg,2,5,7,7,3,7,1,1
[1_2_fish_eagle_hill_2k][blob][MERL-ipswich-pine-221].jpg,2,5,1,1,1,1,1,2
[1_2_fish_eagle_hill_2k][blob][MERL-light-brown-fabric].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL-light-red-paint].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL-maroon-plastic].jpg,2,5,3,3,3,2,3,3
[1_2_fish_eagle_hill_2k][blob][MERL-natural-209].jpg,2,5,1,1,1,1,4,2
[1_2_fish_eagle_hill_2k][blob][MERL-neoprene-rubber].jpg,2,5,1,1,1,1,1,3
[1_2_fish_eagle_hill_2k][blob][MERL-nickel].jpg,2,5,5,4,3,6,3,3
[1_2_fish_eagle_hill_2k][blob][MERL-nylon].jpg,2,5,1,1,1,1,1,3
[1_2_fish_eagle_hill_2k][blob][MERL-orange-paint].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL-pearl-paint].jpg,2,5,1,1,1,2,3,1
[1_2_fish_eagle_hill_2k][blob][MERL-pickled-oak-260].jpg,2,5,2,1,1,1,2,1
